"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine"
"Morphological","Vegetative","0","MEC","13","2386","0.07","0.014","0.207","within","no","0.37498015609838","13","2386","0.117","0.03","0.053","within","no","0.580199519385601","13","2386","0.19","0.11","0.048","within","yes","0.52478549849408","13","2386","-0.377","-0.293","0.464","between","no","-0.201822652578256","13","2386","0.059","0.061","0.244","between","no","-0.0175484751254395","13","2386","0.576","0.556","0.403","within","no","0.177831018587038","13","2386","0.06","0.03","0.278","within","no","0.312904734229213","13","2386","0.105","0.063","0.286","within","no","0.298307666013626"
"Morphological","Vegetative","0","MSL","62","2337","0.106","0.034","0","within","yes","0.48211734355506","62","2337","0.157","0.052","0","within","yes","0.700240799258484","62","2337","0.192","0.123","0","within","yes","0.452627492451144","62","2337","-0.018","-0.122","0","within","yes","0.249875665096889","62","2337","0.101","0.076","0","within","yes","0.219355939067993","62","2337","0.599","0.565","0","within","yes","0.302312731597967","62","2337","0.059","0.026","0","within","yes","0.344195207652135","62","2337","0.112","0.053","0","within","yes","0.41905124511438"
"Morphological","Vegetative","0","NLS","127","2272","0.075","0.022","0","within","yes","0.354891933450253","127","2272","0.142","0.048","0","within","yes","0.626882239336166","127","2272","0.213","0.118","0","within","yes","0.62318277946172","127","2272","-0.065","-0.151","0","within","yes","0.20662795383012","127","2272","0.139","0.075","0","within","yes","0.561551204014062","127","2272","0.637","0.568","0","within","yes","0.613517014125285","127","2272","0.087","0.028","0","within","yes","0.615379310650786","127","2272","0.17","0.058","0","within","yes","0.79548710936967"
"Morphological","Vegetative","0","PIG","248","2151","0.069","0.025","0","within","yes","0.29462726550587","248","2151","0.182","0.049","0","within","yes","0.886971679060746","248","2151","0.222","0.12","0","within","yes","0.669101510579952","248","2151","-0.054","-0.154","0","within","yes","0.240265062593162","248","2151","0.144","0.071","0","within","yes","0.640519342078539","248","2151","0.658","0.566","0","within","yes","0.81802268550038","248","2151","0.096","0.024","0","within","yes","0.750971362150112","248","2151","0.156","0.046","0","within","yes","0.78128198241664"
"Morphological","Vegetative","0","ROT","199","2200","0.075","0.018","0","within","yes","0.381676230314423","199","2200","0.148","0.043","0","within","yes","0.700240799258484","199","2200","0.214","0.117","0","within","yes","0.636302416924072","199","2200","-0.001","-0.14","0","within","yes","0.333968437004496","199","2200","0.155","0.08","0","within","yes","0.658067817203979","199","2200","0.625","0.558","0","within","yes","0.59573391226658","199","2200","0.101","0.027","0","within","yes","0.771831677765393","199","2200","0.198","0.056","0","within","yes","1.00856401366512"
"Morphological","Vegetative","0","SRF","197","2202","0.068","0.022","0","within","yes","0.308019413937955","197","2202","0.204","0.049","0","within","yes","1.03368879890538","197","2202","0.285","0.121","0","within","yes","1.07581027191286","197","2202","-0.049","-0.161","0","within","yes","0.269096870104342","197","2202","0.172","0.071","0","within","yes","0.886197993834691","197","2202","0.635","0.565","0","within","yes","0.622408565054637","197","2202","0.109","0.025","0","within","yes","0.876133255841797","197","2202","0.195","0.053","0","within","yes","1.00856401366512"
"Morphological","Vegetative","0","STT","77","2322","0.033","0.01","0","within","yes","0.154009706968978","77","2322","0.065","0.041","0","within","yes","0.160055039830511","77","2322","0.145","0.115","0","within","yes","0.19679456193528","77","2322","-0.057","-0.141","0","within","yes","0.201822652578256","77","2322","0.109","0.065","0","within","yes","0.386066452759668","77","2322","0.651","0.572","0","within","yes","0.702432523418805","77","2322","0.075","0.021","0","within","yes","0.563228521612584","77","2322","0.142","0.042","0","within","yes","0.710256347651491"
"Morphological","Vegetative","0","TCM","97","2302","0.034","0.019","0","within","yes","0.100441113240638","97","2302","0.101","0.05","0","within","yes","0.340116959639835","97","2302","0.164","0.113","0","within","yes","0.334550755289976","97","2302","-0.033","-0.13","0","within","yes","0.233057110715367","97","2302","0.11","0.074","0","within","yes","0.31587255225791","97","2302","0.62","0.561","0","within","yes","0.524601504831765","97","2302","0.072","0.027","0","within","yes","0.46935710134382","97","2302","0.146","0.057","0","within","yes","0.632128149409827"
"Morphological","Vegetative","0","TMP","71","2328","0.069","0.021","0","within","yes","0.32141156237004","71","2328","0.151","0.032","0","within","yes","0.793606239159615","71","2328","0.237","0.105","0","within","yes","0.865896072515232","71","2328","-0.06","-0.144","0","within","yes","0.201822652578256","71","2328","0.121","0.057","0","within","yes","0.561551204014062","71","2328","0.679","0.547","0","within","yes","1.17368472267446","71","2328","0.168","0.038","0","within","yes","1.35592051499326","71","2328","0.286","0.073","0","within","yes","1.51284602049768"
"Morphological","Vegetative","1","all","1989","1230","0.026","0.025","0","within","yes","0.00669607421604249","1989","1230","0.07","0.029","0","within","yes","0.273427359710456","1989","1230","0.131","0.116","0","within","yes","0.09839728096764","1989","1230","-0.117","-0.199","0","within","yes","0.197017351326393","1989","1230","0.082","0.064","0","within","yes","0.157936276128955","1989","1230","0.572","0.558","0","within","yes","0.124481713010926","1989","1230","0.037","0.024","0","within","yes","0.135592051499326","1989","1230","0.072","0.048","0","within","yes","0.170461523436358"
