"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine"
"Conditional","Biological","0","OBI","6","2393","0.178","0.026","0.413","within","no","1.01780328083846","6","2393","0.281","0.024","0","within","yes","1.71392271818505","6","2393","0.539","0.095","0","within","yes","2.91255951664214","6","2393","0.082","-0.102","0.61","within","no","0.442087715171419","6","2393","0.302","0.062","0","within","yes","2.10581701505273","6","2393","0.779","0.56","0","within","yes","1.94724965352808","6","2393","0.322","0.042","0","within","yes","2.92044418613933","6","2393","0.446","0.081","0","within","yes","2.59243566892794"
"Conditional","Biological","1","all","6","2393","0.178","0.026","0.413","within","no","1.01780328083846","6","2393","0.281","0.024","0","within","yes","1.71392271818505","6","2393","0.539","0.095","0","within","yes","2.91255951664214","6","2393","0.082","-0.102","0.61","within","no","0.442087715171419","6","2393","0.302","0.062","0","within","yes","2.10581701505273","6","2393","0.779","0.56","0","within","yes","1.94724965352808","6","2393","0.322","0.042","0","within","yes","2.92044418613933","6","2393","0.446","0.081","0","within","yes","2.59243566892794"
"Essential","Gametophyte","0","EMG","54","2345","0.509","0.104","0","within","yes","2.71191005749722","54","2345","0.708","0.14","0","within","yes","3.78796927598875","54","2345","0.514","0.2","0","within","yes","2.05978308158926","54","2345","0.517","-0.041","0","within","yes","1.34067904926985","54","2345","0.522","0.139","0","within","yes","3.36053298652165","54","2345","0.891","0.592","0","within","yes","2.65857372787623","54","2345","0.576","0.076","0","within","yes","5.21507890382022","54","2345","0.815","0.137","0","within","yes","4.81553803707711"
"Essential","Gametophyte","0","FLT","151","2249","0.088","0.022","0","within","yes","0.441940898258805","151","2249","0.287","0.04","0","within","yes","1.64723311825567","151","2249","0.312","0.098","0","within","yes","1.40380120847166","151","2249","0.11","-0.114","0","within","yes","0.538193740208684","151","2249","0.258","0.064","0","within","yes","1.70220208716763","151","2249","0.686","0.542","0","within","yes","1.28038333382668","151","2249","0.163","0.021","0","within","yes","1.48108240868494","151","2249","0.288","0.044","0","within","yes","1.73302548826964"
"Essential","Gametophyte","0","FSM","147","2252","0.046","0.016","0","within","yes","0.200882226481275","147","2252","0.124","0.048","0","within","yes","0.506840959463283","147","2252","0.2","0.115","0","within","yes","0.55758459214996","147","2252","-0.114","-0.169","0","within","yes","0.132145784426239","147","2252","0.122","0.07","0","within","yes","0.456260353261425","147","2252","0.636","0.558","0","within","yes","0.693540972489452","147","2252","0.073","0.024","0","within","yes","0.511077732574382","147","2252","0.145","0.051","0","within","yes","0.667640966792401"
"Essential","Gametophyte","0","GAM","75","2324","0.595","0.076","0","within","yes","3.47526251812606","75","2324","0.741","0.135","0","within","yes","4.04138975572039","75","2324","0.715","0.224","0","within","yes","3.22087099700742","75","2324","0.404","-0.083","0","within","yes","1.1700908548287","75","2324","0.617","0.097","0","within","yes","4.56260353261425","75","2324","0.892","0.561","0","within","yes","2.9431033576155","75","2324","0.537","0.052","0","within","yes","5.05862653670562","75","2324","0.76","0.1","0","within","yes","4.68769189449984"
"Essential","Gametophyte","0","GEM","32","2367","0.697","0.112","0","within","yes","3.91720341638487","32","2367","0.874","0.168","0","within","yes","4.70828575501419","32","2367","0.834","0.246","0","within","yes","3.85717341393149","32","2367","0.683","-0.02","0","within","yes","1.68906339002993","32","2367","0.647","0.135","0","within","yes","4.4924096321125","32","2367","0.938","0.588","0","within","yes","3.11204282527318","32","2367","0.687","0.082","0","within","yes","6.31024547362247","32","2367","0.873","0.146","0","within","yes","5.16356364742634"
"Essential","Gametophyte","0","MGD","47","2352","0.194","0.049","0","within","yes","0.970930761326164","47","2352","0.29","0.097","0","within","yes","1.28710927863702","47","2352","0.277","0.166","0","within","yes","0.728139879160536","47","2352","0.152","-0.101","0","within","yes","0.607870608360701","47","2352","0.322","0.088","0","within","yes","2.05317158967641","47","2352","0.725","0.576","0","within","yes","1.32484108847344","47","2352","0.225","0.04","0","within","yes","1.92957919441348","47","2352","0.375","0.081","0","within","yes","2.08815366209538"
"Essential","Gametophyte","1","all","506","1941","0.098","0.04","0","within","yes","0.388372304530465","506","1941","0.174","0.072","0","within","yes","0.68023391927967","506","1941","0.214","0.145","0","within","yes","0.452627492451144","506","1941","0.025","-0.133","0","within","yes","0.379618798897196","506","1941","0.164","0.077","0","within","yes","0.763358667956616","506","1941","0.625","0.554","0","within","yes","0.631300115983988","506","1941","0.105","0.032","0","within","yes","0.761401519957753","506","1941","0.176","0.064","0","within","yes","0.79548710936967"
"Essential","Lethal","0","ARC","93","2306","0.131","0.017","0","within","yes","0.763352460628846","93","2306","0.186","0.044","0","within","yes","0.946992318997187","93","2306","0.275","0.111","0","within","yes","1.07581027191286","93","2306","0.04","-0.126","0","within","yes","0.398840003904649","93","2306","0.191","0.071","0","within","yes","1.05290850752637","93","2306","0.653","0.558","0","within","yes","0.844697338288435","93","2306","0.108","0.026","0","within","yes","0.855272940226517","93","2306","0.204","0.057","0","within","yes","1.04407683104769"
