"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.61","0.038","0","within","yes","6.71163169763584","1"
"ESN","G","GEM","0","32","2367","0.774","0.075","0","within","yes","8.20180167246058","2"
"ESN","G","EMG","0","54","2345","0.638","0.061","0","within","yes","6.77029980688091","3"
"ESN","G","MGD","0","47","2352","0.229","0.031","0","within","yes","2.32325712610472","4"
"ESN","S","EMB","0","364","2035","0.326","0.021","0","within","yes","3.57875466394918","5"
"ESN","S","MSD","0","13","2386","0.378","0.039","0","within","yes","3.97769780681565","6"
"ESN","L","NHM","0","17","2382","0.014","0.011","0.208","within","no","0.0352008655470411","7"
"ESN","L","SRL","0","155","2244","0.105","0.013","0","within","yes","1.07949321010926","8"
"MRP","V","GER","0","60","2339","0.106","0.016","0","within","yes","1.05602596641123","9"
"MRP","V","NLS","0","127","2272","0.076","0.019","0","within","yes","0.668816445393781","10"
"MRP","V","PIG","0","248","2151","0.095","0.022","0","within","yes","0.856554394978001","11"
"MRP","V","GRS","0","272","2127","0.151","0.02","0","within","yes","1.5371044622208","12"
"MRP","V","ROT","0","199","2200","0.095","0.019","0","within","yes","0.891755260525042","13"
"MRP","V","LEF","0","246","2153","0.091","0.023","0","within","yes","0.797886285732932","14"
"MRP","V","IST","0","94","2305","0.133","0.023","0","within","yes","1.29069840339151","15"
"MRP","V","ARC","0","93","2306","0.137","0.023","0","within","yes","1.33763289078756","16"
"MRP","V","MSL","0","62","2337","0.067","0.023","0","within","yes","0.516279361356603","17"
"MRP","R","FSM","0","147","2252","0.071","0.022","0","within","yes","0.574947470601672","18"
"MRP","R","OVP","0","33","2366","0.039","0.013","0","within","yes","0.305074168074356","19"
"MRP","R","SRF","0","197","2202","0.145","0.022","0","within","yes","1.44323548742869","20"
"MRP","R","SSC","0","40","2359","0.139","0.02","0","within","yes","1.39630100003263","21"
"MRP","T","FLT","0","151","2249","0.152","0.018","0","within","yes","1.57230532776784","22"
"MRP","T","SEN","0","39","2360","0.116","0.019","0","within","yes","1.13816131935433","23"
"MRP","T","CDR","0","13","2386","0.098","0.007","0.003","within","yes","1.06775958826025","24"
"MRP","T","MTM","0","7","2392","0.006","0.007","0.985","between","no","-0.0117336218490137","25"
"CLB","C","STT","0","77","2322","0.05","0.015","0","within","yes","0.41067676471548","26"
"CLB","C","RTH","0","53","2346","0.116","0.012","0","within","yes","1.22029667229743","27"
"CLB","C","TCM","0","97","2302","0.054","0.022","0","within","yes","0.375475899168439","28"
"CLB","C","CUL","0","74","2325","0.036","0.016","0","within","yes","0.234672436980274","29"
"CLB","B","PRA","0","124","2275","0.009","0.003","0","within","yes","0.0704017310940823","30"
"CLB","B","CPR","0","68","2331","0.018","0.002","0.133","within","no","0.187737949584219","31"
"CND","P","WAT","0","40","2359","0.125","0.011","0","within","yes","1.33763289078756","32"
"CND","P","TMP","0","71","2328","0.026","0.011","0.001","within","yes","0.176004327735206","33"
"CND","P","LIT","0","146","2253","0.067","0.014","0","within","yes","0.621881957997727","34"
"CND","P","MEC","0","13","2386","0.05","0.016","0.089","within","no","0.398943142866466","35"
"CND","P","MPH","0","18","2381","0.06","0.012","0","within","yes","0.563213848752658","36"
"CND","H","NUT","0","109","2290","0.005","0.005","0","between","yes","0","37"
"CND","H","HRM","0","152","2247","0.042","0.008","0","within","yes","0.398943142866466","38"
"CND","H","CHS","0","190","2209","0.021","0.006","0","within","yes","0.176004327735206","39"
"CND","H","MCH","0","28","2371","0.029","0.003","0","within","yes","0.305074168074356","40"
"CND","I","PTH","0","137","2262","0.044","0.005","0","within","yes","0.457611252111535","41"
"CND","I","OBI","0","6","2393","0.089","0.01","0.086","within","no","0.926956126072083","42"
"ESN","G","all","1","208","2202","0.438","0.025","0","within","yes","4.84598582364266","0"
"ESN","S","all","1","377","2022","0.312","0.021","0","within","yes","3.41448395806299","0"
"ESN","L","all","1","172","2228","0.087","0.013","0","within","yes","0.868288016827015","0"
"MRP","V","all","1","1401","1581","0.049","0.013","0","within","yes","0.422410386564494","0"
"MRP","R","all","1","417","2061","0.075","0.018","0","within","yes","0.668816445393781","0"
"MRP","T","all","1","210","2204","0.103","0.016","0","within","yes","1.02082510086419","0"
"CLB","C","all","1","301","2132","0.031","0.017","0","within","yes","0.164270705886192","0"
"CLB","B","all","1","192","2212","0.007","0.002","0.046","within","yes","0.0586681092450686","0"
"CND","P","all","1","288","2125","0.032","0.012","0","within","yes","0.234672436980274","0"
"CND","H","all","1","479","1982","0.012","0.007","0","within","yes","0.0586681092450686","0"
"CND","I","all","1","143","2256","0.041","0.005","0","within","yes","0.422410386564494","0"
