"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Conditional","Chemical","0","MCH","28","2371","0.412","0.056","0","within","yes","2.36248735022493","40","28","2371","0.094","0.012","0","within","yes","0.544378135759541","40","28","2371","0.207","0.088","0","within","yes","0.779359401407365","40","28","2371","0.029","0.003","0","within","yes","0.305074168074356","40","28","2371","0.112","0.047","0","within","yes","0.564492149576403","40","28","2371","0.75","0.545","0","within","yes","1.67938476712536","40","28","2371","0.228","0.043","0","within","yes","2.13969276085302","40","28","2371","0.471","0.094","0","within","yes","2.88952972204005","40"
"Conditional","Chemical","0","NUT","109","2290","0.088","0.03","0","within","yes","0.384899624474849","37","109","2290","0.065","0.024","0","within","yes","0.272189067879771","37","109","2290","0.137","0.093","0","within","yes","0.288166501360706","37","109","2290","0.005","0.005","0","between","yes","0","37","109","2290","0.048","0.044","0","within","yes","0.034737978435471","37","109","2290","0.622","0.526","0","within","yes","0.786443598263584","37","109","2290","0.126","0.033","0","within","yes","1.07562933383422","37","109","2290","0.249","0.071","0","within","yes","1.36428724276692","37"
"Conditional","Chemical","1","all","479","1982","0.157","0.017","0","within","yes","0.929068059077222","0","479","1982","0.053","0.02","0","within","yes","0.219079005854449","0","479","1982","0.164","0.079","0","within","yes","0.556685286719546","0","479","1982","0.012","0.007","0","within","yes","0.0586681092450686","0","479","1982","0.112","0.054","0","within","yes","0.503700687314329","0","479","1982","0.647","0.52","0","within","yes","1.0403993435362","0","479","1982","0.131","0.022","0","within","yes","1.26068384288097","0","479","1982","0.285","0.044","0","within","yes","1.84715295228555","0"
"Conditional","Biological","0","OBI","6","2393","0.178","0.026","0.413","within","no","1.00870246414098","42","6","2393","0.281","0.024","0","within","yes","1.70616074256344","42","6","2393","0.539","0.095","0","within","yes","2.90786196827622","42","6","2393","0.089","0.01","0.086","within","no","0.926956126072083","42","6","2393","0.263","0.062","0","within","yes","1.74558341638241","42","6","2393","0.789","0.572","0","within","yes","1.77769021690831","42","6","2393","0.346","0.04","0","within","yes","3.53916748551906","42","6","2393","0.467","0.078","0","within","yes","2.98150414290074","42"
"Conditional","Biological","0","PTH","137","2262","0.288","0.037","0","within","yes","1.66568630591702","41","137","2262","0.02","0.011","0","within","yes","0.0597488197784862","41","137","2262","0.27","0.126","0","within","yes","0.943090368089584","41","137","2262","0.044","0.005","0","within","yes","0.457611252111535","41","137","2262","0.092","0.036","0","within","yes","0.486331698096593","41","137","2262","0.739","0.556","0","within","yes","1.49915810918996","41","137","2262","0.202","0.026","0","within","yes","2.03559959951423","41","137","2262","0.35","0.056","0","within","yes","2.25337331108693","41"
"Conditional","Biological","1","all","143","2256","0.272","0.036","0","within","yes","1.56614329958732","0","143","2256","0.02","0.012","0","within","yes","0.0531100620253211","0","143","2256","0.261","0.125","0","within","yes","0.890696458751274","0","143","2256","0.041","0.005","0","within","yes","0.422410386564494","0","143","2256","0.092","0.036","0","within","yes","0.486331698096593","0","143","2256","0.737","0.555","0","within","yes","1.49096598837471","0","143","2256","0.197","0.026","0","within","yes","1.97777006543712","0","143","2256","0.343","0.056","0","within","yes","2.19972156558486","0"
"Conditional","Physical","0","LIT","146","2253","0.063","0.016","0","within","yes","0.311901419833067","34","146","2253","0.106","0.037","0","within","yes","0.458074284968394","34","146","2253","0.178","0.114","0","within","yes","0.419151274706482","34","146","2253","0.067","0.014","0","within","yes","0.621881957997727","34","146","2253","0.17","0.069","0","within","yes","0.877133955495641","34","146","2253","0.596","0.526","0","within","yes","0.573448457067197","34","146","2253","0.114","0.025","0","within","yes","1.02936570657254","34","146","2253","0.21","0.05","0","within","yes","1.22632561147588","34"
"Conditional","Physical","0","MEC","13","2386","0.089","0.013","0.045","within","yes","0.504351232070492","35","13","2386","0.14","0.029","0.009","within","yes","0.73690211060133","35","13","2386","0.213","0.11","0.008","within","yes","0.674571582730744","35","13","2386","0.05","0.016","0.089","within","no","0.398943142866466","35","13","2386","0.1","0.077","0.754","within","no","0.199743376003958","35","13","2386","0.591","0.556","0.176","within","no","0.286724228533598","35","13","2386","0.088","0.028","0.035","within","yes","0.693954408925305","35","13","2386","0.132","0.06","0.038","within","yes","0.551846525164147","35"
"Conditional","Physical","0","MPH","18","2381","0.069","0.03","0","within","yes","0.258811816457226","36","18","2381","0.111","0.034","0","within","yes","0.511184346993715","36","18","2381","0.164","0.113","0.007","within","yes","0.334011172031728","36","18","2381","0.06","0.012","0","within","yes","0.563213848752658","36","18","2381","0.12","0.077","0","within","yes","0.373433268181313","36","18","2381","0.579","0.531","0","within","yes","0.393221799131792","36","18","2381","0.107","0.031","0","within","yes","0.879008917972053","36","18","2381","0.241","0.074","0","within","yes","1.27997735697795","36"
"Conditional","Physical","0","TMP","71","2328","0.069","0.021","0","within","yes","0.318537620255047","33","71","2328","0.151","0.032","0","within","yes","0.790012172626651","33","71","2328","0.237","0.105","0","within","yes","0.864499504082119","33","71","2328","0.026","0.011","0.001","within","yes","0.176004327735206","33","71","2328","0.072","0.055","0","within","yes","0.147636408350751","33","71","2328","0.656","0.541","0","within","yes","0.942093893753252","33","71","2328","0.174","0.034","0","within","yes","1.61922695415904","33","71","2328","0.326","0.073","0","within","yes","1.93912737314624","33"
