"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Conditional","Chemical","0","MCH","28","2371","0.412","0.056","0","within","yes","2.36248735022493","40","28","2371","0.094","0.012","0","within","yes","0.544378135759541","40","28","2371","0.207","0.088","0","within","yes","0.779359401407365","40","28","2371","0.03","0.003","0","within","yes","0.362443805360266","40","28","2371","0.107","0.046","0","within","yes","0.544658155451168","40","28","2371","0.756","0.546","0","within","yes","1.72388308212092","40","28","2371","0.229","0.043","0","within","yes","2.15070415914253","40","28","2371","0.47","0.094","0","within","yes","2.88235563797998","40"
"Conditional","Chemical","0","NUT","109","2290","0.088","0.03","0","within","yes","0.384899624474849","37","109","2290","0.065","0.024","0","within","yes","0.272189067879771","37","109","2290","0.137","0.093","0","within","yes","0.288166501360706","37","109","2290","0.004","0.003","0","within","yes","0.0134238446429728","37","109","2290","0.043","0.042","0","within","yes","0.0089288222205109","37","109","2290","0.624","0.528","0","within","yes","0.788060837540991","37","109","2290","0.126","0.033","0","within","yes","1.07535207957127","37","109","2290","0.249","0.071","0","within","yes","1.36451942436286","37"
"Conditional","Chemical","1","all","479","1982","0.157","0.017","0","within","yes","0.929068059077222","0","479","1982","0.053","0.02","0","within","yes","0.219079005854449","0","479","1982","0.164","0.079","0","within","yes","0.556685286719546","0","479","1982","0.011","0.005","0","within","yes","0.0805430678578369","0","479","1982","0.109","0.052","0","within","yes","0.508942866569125","0","479","1982","0.648","0.521","0","within","yes","1.04253881633027","0","479","1982","0.131","0.022","0","within","yes","1.26035888895987","0","479","1982","0.285","0.044","0","within","yes","1.84746731051376","0"
"Conditional","Biological","0","OBI","6","2393","0.178","0.026","0.413","within","no","1.00870246414098","42","6","2393","0.281","0.024","0","within","yes","1.70616074256344","42","6","2393","0.539","0.095","0","within","yes","2.90786196827622","42","6","2393","0.077","0.007","0.712","within","no","0.939669125008098","42","6","2393","0.238","0.061","0","within","yes","1.58040153303044","42","6","2393","0.784","0.565","0","within","yes","1.79776378564039","42","6","2393","0.346","0.04","0","within","yes","3.53825522955707","42","6","2393","0.467","0.078","0","within","yes","2.98201155099524","42"
"Conditional","Biological","0","PTH","137","2262","0.288","0.037","0","within","yes","1.66568630591702","41","137","2262","0.02","0.011","0","within","yes","0.0597488197784862","41","137","2262","0.27","0.126","0","within","yes","0.943090368089584","41","137","2262","0.039","0.004","0","within","yes","0.469834562504049","41","137","2262","0.086","0.033","0","within","yes","0.473227577687081","41","137","2262","0.742","0.555","0","within","yes","1.53507683979339","41","137","2262","0.202","0.026","0","within","yes","2.03507490327466","41","137","2262","0.35","0.056","0","within","yes","2.25375680203753","41"
"Conditional","Biological","1","all","143","2256","0.272","0.036","0","within","yes","1.56614329958732","0","143","2256","0.02","0.012","0","within","yes","0.0531100620253211","0","143","2256","0.261","0.125","0","within","yes","0.890696458751274","0","143","2256","0.037","0.004","0","within","yes","0.442986873218103","0","143","2256","0.086","0.034","0","within","yes","0.46429875546657","0","143","2256","0.739","0.554","0","within","yes","1.51865890567795","0","143","2256","0.197","0.026","0","within","yes","1.97726027534072","0","143","2256","0.343","0.056","0","within","yes","2.20009592579855","0"
"Conditional","Physical","0","LIT","146","2253","0.063","0.016","0","within","yes","0.311901419833067","34","146","2253","0.106","0.037","0","within","yes","0.458074284968394","34","146","2253","0.178","0.114","0","within","yes","0.419151274706482","34","146","2253","0.042","0.007","0","within","yes","0.469834562504049","34","146","2253","0.143","0.065","0","within","yes","0.696448133199855","34","146","2253","0.594","0.525","0","within","yes","0.566418726982587","34","146","2253","0.114","0.025","0","within","yes","1.02910037722412","34","146","2253","0.21","0.05","0","within","yes","1.22653431403403","34"
"Conditional","Physical","0","MEC","13","2386","0.089","0.013","0.045","within","yes","0.504351232070492","35","13","2386","0.14","0.029","0.009","within","yes","0.73690211060133","35","13","2386","0.213","0.11","0.008","within","yes","0.674571582730744","35","13","2386","0.04","0.011","0.801","within","no","0.389291494646212","35","13","2386","0.099","0.075","0.576","within","no","0.214291733292263","35","13","2386","0.582","0.553","0.299","within","no","0.23806004467384","35","13","2386","0.088","0.028","0.035","within","yes","0.693775535207269","35","13","2386","0.132","0.06","0.038","within","yes","0.551940441315315","35"
"Conditional","Physical","0","MPH","18","2381","0.069","0.03","0","within","yes","0.258811816457226","36","18","2381","0.111","0.034","0","within","yes","0.511184346993715","36","18","2381","0.164","0.113","0.007","within","yes","0.334011172031728","36","18","2381","0.055","0.008","0","within","yes","0.630920698219723","36","18","2381","0.122","0.076","0","within","yes","0.410725822143504","36","18","2381","0.579","0.532","0","within","yes","0.385821451712777","36","18","2381","0.107","0.031","0","within","yes","0.878782344595874","36","18","2381","0.241","0.074","0","within","yes","1.28019519027302","36"
"Conditional","Physical","0","TMP","71","2328","0.069","0.021","0","within","yes","0.318537620255047","33","71","2328","0.151","0.032","0","within","yes","0.790012172626651","33","71","2328","0.237","0.105","0","within","yes","0.864499504082119","33","71","2328","0.017","0.007","0.032","within","yes","0.134238446429728","33","71","2328","0.079","0.054","0","within","yes","0.223220555512774","33","71","2328","0.657","0.542","0","within","yes","0.944031211637646","33","71","2328","0.174","0.034","0","within","yes","1.61880958215029","33","71","2328","0.326","0.073","0","within","yes","1.93945738406631","33"
"Conditional","Physical","0","WAT","40","2359","0.088","0.022","0","within","yes","0.43798922785069","32","40","2359","0.234","0.024","0","within","yes","1.39413912816468","32","40","2359","0.333","0.091","0","within","yes","1.58491575748388","32","40","2359","0.083","0.006","0","within","yes","1.03363603750891","32","40","2359","0.222","0.066","0","within","yes","1.39289626639971","32","40","2359","0.68","0.548","0","within","yes","1.08358365161886","32","40","2359","0.239","0.039","0","within","yes","2.31258511735756","32","40","2359","0.432","0.086","0","within","yes","2.65238045409859","32"
"Conditional","Physical","1","all","288","2125","0.033","0.019","0","within","yes","0.0929068059077222","0","288","2125","0.076","0.032","0","within","yes","0.292105341139266","0","288","2125","0.153","0.107","0","within","yes","0.301264978695284","0","288","2125","0.019","0.007","0","within","yes","0.161086135715674","0","288","2125","0.092","0.063","0","within","yes","0.258935844394818","0","288","2125","0.577","0.532","0","within","yes","0.369403517597339","0","288","2125","0.081","0.027","0","within","yes","0.624397981686542","0","288","2125","0.162","0.057","0","within","yes","0.804913143584834","0"
"Essential","Gametophyte","0","EMG","54","2345","0.509","0.104","0","within","yes","2.68766117090196","3","54","2345","0.708","0.14","0","within","yes","3.7708144037978","3","54","2345","0.514","0.2","0","within","yes","2.05646094152868","3","54","2345","0.526","0.04","0","within","yes","6.52398849648479","3","54","2345","0.449","0.107","0","within","yes","3.05365719941475","3","54","2345","0.879","0.586","0","within","yes","2.40522734791157","3","54","2345","0.6","0.057","0","within","yes","6.27866859362579","3","54","2345","0.842","0.092","0","within","yes","5.74937959703453","3"
"Essential","Gametophyte","0","GAM","75","2324","0.595","0.076","0","within","yes","3.4441880190077","1","75","2324","0.741","0.135","0","within","yes","4.02308719841807","1","75","2324","0.715","0.224","0","within","yes","3.21567618563879","1","75","2324","0.421","0.024","0","within","yes","5.32926632326021","1","75","2324","0.604","0.097","0","within","yes","4.52691286579906","1","75","2324","0.884","0.554","0","within","yes","2.70895912904716","1","75","2324","0.588","0.036","0","within","yes","6.38273492390688","1","75","2324","0.79","0.061","0","within","yes","5.58839696831756","1"
"Essential","Gametophyte","0","GEM","32","2367","0.697","0.112","0","within","yes","3.88217724685839","2","32","2367","0.874","0.168","0","within","yes","4.68696297373458","2","32","2367","0.834","0.246","0","within","yes","3.8509523363658","2","32","2367","0.713","0.051","0","within","yes","8.88658515364801","2","32","2367","0.576","0.121","0","within","yes","4.06261411033249","2","32","2367","0.929","0.582","0","within","yes","2.84851156902838","2","32","2367","0.747","0.064","0","within","yes","7.89747817577608","2","32","2367","0.911","0.096","0","within","yes","6.24765916211085","2"
"Essential","Gametophyte","0","MGD","47","2352","0.194","0.049","0","within","yes","0.962249061187122","4","47","2352","0.29","0.097","0","within","yes","1.28128024636087","4","47","2352","0.277","0.166","0","within","yes","0.726965492069054","4","47","2352","0.178","0.02","0","within","yes","2.12096745358971","4","47","2352","0.3","0.094","0","within","yes","1.83933737742526","4","47","2352","0.713","0.562","0","within","yes","1.23955402571552","4","47","2352","0.23","0.034","0","within","yes","2.26633341501041","4","47","2352","0.366","0.062","0","within","yes","2.33041519666466","4"
