"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","-0.295","-0.251","0","between","yes","-0.105716627540991"
"CLB","B","CPR","0","68","2331","-0.506","-0.4","0","between","yes","-0.254680966348752"
"MRP","T","MPH","0","18","2381","0.043","-0.112","0","within","yes","0.372410847019402"
"CLB","B","PTH","0","137","2262","-0.154","-0.201","0","within","yes","0.112924579418786"
"MRP","V","SRF","0","197","2202","-0.049","-0.161","0","within","yes","0.269096870104342"
"CLB","C","RTH","0","53","2346","0.088","-0.114","0","within","yes","0.485335426438188"
"MRP","T","MTM","0","7","2392","-0.664","-0.465","0.48","between","no","-0.478127474560393"
"MRP","R","OVP","0","33","2366","-0.539","-0.405","0","between","yes","-0.321955183874838"
"MRP","V","GRS","0","272","2127","0.038","-0.121","0","within","yes","0.382021449523128"
"MRP","T","WAT","0","40","2359","-0.072","-0.154","0.003","within","yes","0.197017351326393"
"ESN","L","SRL","0","155","2244","-0.382","-0.326","0","between","yes","-0.134548435052171"
"ESN","G","FLT","0","151","2249","0.11","-0.114","0","within","yes","0.538193740208684"
"CND","H","CHS","0","190","2209","-0.183","-0.196","0.084","within","no","0.0312344581371111"
"MRP","T","CDR","0","13","2386","-0.18","-0.236","0","within","yes","0.134548435052171"
"MRP","V","STT","0","77","2322","-0.057","-0.141","0","within","yes","0.201822652578256"
"ESN","L","NHM","0","17","2382","-0.576","-0.444","0.008","between","yes","-0.317149882622974"
"MRP","V","NLS","0","127","2272","-0.065","-0.151","0","within","yes","0.20662795383012"
"CND","I","OBI","0","6","2393","0.082","-0.102","0.61","within","no","0.442087715171419"
"MRP","V","CUL","0","74","2325","-0.002","-0.114","0","within","yes","0.269096870104342"
"ESN","S","EMB","0","364","2035","0.551","-0.107","0","within","yes","1.58094411186301"
"ESN","G","EMG","0","54","2345","0.517","-0.041","0","within","yes","1.34067904926985"
"ESN","S","MSD","0","13","2386","0.381","-0.07","0","within","yes","1.08359543229516"
"ESN","G","FSM","0","147","2252","-0.114","-0.169","0","within","yes","0.132145784426239"
"MRP","R","SSC","0","40","2359","-0.04","-0.166","0","within","yes","0.302733978867385"
"MRP","V","MSL","0","62","2337","-0.018","-0.122","0","within","yes","0.249875665096889"
"MRP","V","MEC","0","13","2386","-0.377","-0.293","0.464","between","no","-0.201822652578256"
"ESN","G","MGD","0","47","2352","0.152","-0.101","0","within","yes","0.607870608360701"
"MRP","V","IST","0","94","2305","0.072","-0.108","0","within","yes","0.432477112667692"
"MRP","V","LEF","0","246","2153","-0.004","-0.13","0","within","yes","0.302733978867385"
"CND","H","NUT","0","109","2290","-0.576","-0.439","0","between","yes","-0.329163135752632"
"ESN","G","GEM","0","32","2367","0.683","-0.02","0","within","yes","1.68906339002993"
"MRP","V","PIG","0","248","2151","-0.054","-0.154","0","within","yes","0.240265062593162"
"ESN","L","ARC","0","93","2306","0.04","-0.126","0","within","yes","0.398840003904649"
"ESN","G","GAM","0","75","2324","0.404","-0.083","0","within","yes","1.1700908548287"
"CLB","B","MCH","0","28","2371","-0.495","-0.375","0","between","yes","-0.288318075111795"
"MRP","V","GER","0","60","2339","0.076","-0.11","0","within","yes","0.446893016423282"
"MRP","T","LIT","0","146","2253","-0.073","-0.158","0","within","yes","0.204225303204188"
"MRP","V","ROT","0","199","2200","-0.001","-0.14","0","within","yes","0.333968437004496"
"MRP","V","TMP","0","71","2328","-0.06","-0.144","0","within","yes","0.201822652578256"
"MRP","T","SEN","0","39","2360","0.069","-0.11","0","within","yes","0.430074462041761"
"CLB","B","PRA","0","124","2275","-0.511","-0.391","0","between","yes","-0.288318075111795"
"MRP","V","TCM","0","97","2302","-0.033","-0.13","0","within","yes","0.233057110715367"
"MRP","V","all","1","1989","1230","-0.117","-0.199","0","within","yes","0.197017351326393"
"CLB","B","all","1","357","2058","-0.401","-0.309","0","between","yes","-0.221043857585709"
"MRP","T","all","1","263","2147","-0.097","-0.164","0","within","yes","0.160977591937419"
"CLB","C","all","1","53","2346","0.088","-0.114","0","within","yes","0.485335426438188"
"MRP","R","all","1","73","2326","-0.307","-0.27","0","between","yes","-0.08889807315947"
"ESN","L","all","1","265","2140","-0.302","-0.261","0","between","yes","-0.0985086756631965"
"ESN","G","all","1","506","1941","0.025","-0.133","0","within","yes","0.379618798897196"
"CND","H","all","1","299","2113","-0.338","-0.27","0","between","yes","-0.16338024256335"
"CND","I","all","1","6","2393","0.082","-0.102","0.61","within","no","0.442087715171419"
"ESN","S","all","1","377","2022","0.527","-0.109","0","within","yes","1.52808579809251"
