"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.673","0.115","0","within","yes","4.49542848761141","1"
"ESN","G","GEM","0","32","2367","0.55","0.149","0","within","yes","3.23058570525479","2"
"ESN","G","EMG","0","54","2345","0.424","0.171","0","within","yes","2.03824983398869","3"
"ESN","G","MGD","0","47","2352","0.358","0.125","0","within","yes","1.87712336489867","4"
"ESN","S","EMB","0","364","2035","0.57","0.148","0","within","yes","3.39976849779931","5"
"ESN","S","MSD","0","13","2386","0.287","0.154","0","within","yes","1.0714910194486","6"
"ESN","L","NHM","0","17","2382","0.518","0.074","0","within","yes","3.57700761379833","7"
"ESN","L","SRL","0","155","2244","0.259","0.113","0","within","yes","1.17622322435711","8"
"MRP","V","GER","0","60","2339","0.199","0.123","0","within","yes","0.612280582542056","9"
"MRP","V","NLS","0","127","2272","0.226","0.136","0","within","yes","0.725069110905066","10"
"MRP","V","PIG","0","248","2151","0.21","0.119","0","within","yes","0.733125434359567","11"
"MRP","V","GRS","0","272","2127","0.227","0.139","0","within","yes","0.708956463996064","12"
"MRP","V","ROT","0","199","2200","0.232","0.139","0","within","yes","0.749238081268568","13"
"MRP","V","LEF","0","246","2153","0.231","0.136","0","within","yes","0.76535072817757","14"
"MRP","V","IST","0","94","2305","0.272","0.129","0","within","yes","1.15205425399361","15"
"MRP","V","ARC","0","93","2306","0.259","0.135","0","within","yes","0.998984108358091","16"
"MRP","V","MSL","0","62","2337","0.186","0.134","0","within","yes","0.418928819634038","17"
"MRP","R","FSM","0","147","2252","0.205","0.128","0","within","yes","0.620336905996556","18"
"MRP","R","OVP","0","33","2366","0.237","0.127","0","within","yes","0.886195579995081","19"
"MRP","R","SRF","0","197","2202","0.206","0.121","0","within","yes","0.684787493632562","20"
"MRP","R","SSC","0","40","2359","0.277","0.127","0","within","yes","1.20844851817511","21"
"MRP","T","FLT","0","151","2249","0.317","0.139","0","within","yes","1.43402557490113","22"
"MRP","T","SEN","0","39","2360","0.294","0.128","0","within","yes","1.33734969344712","23"
"MRP","T","CDR","0","13","2386","0.235","0.096","0","within","yes","1.1198289601756","24"
"MRP","T","MTM","0","7","2392","0.121","0.068","0.557","within","no","0.426985143088539","25"
"CLB","C","STT","0","77","2322","0.174","0.121","0","within","yes","0.426985143088539","26"
"CLB","C","RTH","0","53","2346","0.388","0.133","0","within","yes","2.05436248089769","27"
"CLB","C","TCM","0","97","2302","0.17","0.126","0","within","yes","0.354478231998032","28"
"CLB","C","CUL","0","74","2325","0.179","0.11","0","within","yes","0.555886318360551","29"
"CLB","B","PRA","0","124","2275","0.155","0.081","0","within","yes","0.596167935633054","30"
"CLB","B","CPR","0","68","2331","0.193","0.075","0","within","yes","0.950646167631087","31"
"CND","P","WAT","0","40","2359","0.163","0.101","0","within","yes","0.499492054179046","32"
"CND","P","TMP","0","71","2328","0.152","0.09","0","within","yes","0.499492054179046","33"
"CND","P","LIT","0","146","2253","0.19","0.106","0","within","yes","0.676731170178062","34"
"CND","P","MEC","0","13","2386","0.153","0.112","0.295","within","no","0.33030926163453","35"
"CND","P","MPH","0","18","2381","0.159","0.111","0","within","yes","0.386703525816035","36"
"CND","H","NUT","0","109","2290","0.146","0.076","0","within","yes","0.563942641815051","37"
"CND","H","HRM","0","152","2247","0.295","0.08","0","within","yes","1.73210954271766","38"
"CND","H","CHS","0","190","2209","0.154","0.071","0","within","yes","0.668674846723561","39"
"CND","H","MCH","0","28","2371","0.159","0.08","0","within","yes","0.636449552905558","40"
"CND","I","PTH","0","137","2262","0.201","0.073","0","within","yes","1.03120940217609","41"
"CND","I","OBI","0","6","2393","0.375","0.095","0","within","yes","2.25577056726021","42"
"ESN","G","all","1","208","2202","0.438","0.12","0","within","yes","2.56191085853123","0"
"ESN","S","all","1","377","2022","0.551","0.146","0","within","yes","3.2628109990728","0"
"ESN","L","all","1","172","2228","0.228","0.109","0","within","yes","0.958702491085587","0"
"MRP","V","all","1","1401","1581","0.178","0.122","0","within","yes","0.451154113452041","0"
"MRP","R","all","1","417","2061","0.172","0.122","0","within","yes","0.402816172725037","0"
"MRP","T","all","1","210","2204","0.269","0.129","0","within","yes","1.1278852836301","0"
"CLB","C","all","1","301","2132","0.153","0.12","0","within","yes","0.265858673998524","0"
"CLB","B","all","1","192","2212","0.144","0.077","0","within","yes","0.539773671451549","0"
"CND","P","all","1","288","2125","0.125","0.102","0","within","yes","0.185295439453517","0"
"CND","H","all","1","479","1982","0.145","0.072","0","within","yes","0.588111612178554","0"
"CND","I","all","1","143","2256","0.197","0.074","0","within","yes","0.99092778490359","0"
