"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Conditional","Chemical","0","MCH","28","2371","0.412","0.056","0","within","yes","2.36248735022493","40","28","2371","0.094","0.012","0","within","yes","0.544378135759541","40","28","2371","0.207","0.088","0","within","yes","0.779359401407365","40","28","2371","0.002","0.005","0.701","between","no","-0.0442467773256294","40","28","2371","0.034","0.033","0","within","yes","0.00979317692164539","40","28","2371","0.704","0.535","0","within","yes","1.74084547542871","40","28","2371","0.215","0.047","0","within","yes","1.73842886810725","40","28","2371","0.37","0.088","0","within","yes","1.98989303838781","40"
"Conditional","Chemical","0","NUT","109","2290","0.088","0.03","0","within","yes","0.384899624474849","37","109","2290","0.065","0.024","0","within","yes","0.272189067879771","37","109","2290","0.137","0.093","0","within","yes","0.288166501360706","37","109","2290","0.007","0.007","0.101","within","no","0","37","109","2290","0.079","0.049","0","within","yes","0.293795307649361","37","109","2290","0.645","0.533","0","within","yes","1.15369640975157","37","109","2290","0.13","0.037","0","within","yes","0.962344551987942","37","109","2290","0.23","0.071","0","within","yes","1.1219609684527","37"
"Conditional","Chemical","1","all","479","1982","0.157","0.017","0","within","yes","0.929068059077222","0","479","1982","0.053","0.02","0","within","yes","0.219079005854449","0","479","1982","0.164","0.079","0","within","yes","0.556685286719546","0","479","1982","0.006","0.009","0","between","yes","-0.0442467773256294","0","479","1982","0.065","0.046","0","within","yes","0.186070361511262","0","479","1982","0.623","0.523","0","within","yes","1.03008608013533","0","479","1982","0.133","0.025","0","within","yes","1.1175614152118","0","479","1982","0.251","0.049","0","within","yes","1.42538437501538","0"
"Conditional","Biological","0","OBI","6","2393","0.178","0.026","0.413","within","no","1.00870246414098","42","6","2393","0.281","0.024","0","within","yes","1.70616074256344","42","6","2393","0.539","0.095","0","within","yes","2.90786196827622","42","6","2393","0.052","0.013","0.618","within","no","0.575208105233182","42","6","2393","0.106","0.056","0.665","within","no","0.489658846082269","42","6","2393","0.786","0.564","0","within","yes","2.28679109790043","42","6","2393","0.322","0.042","0","within","yes","2.89738144684542","42","6","2393","0.446","0.081","0","within","yes","2.5755707766367","42"
"Conditional","Biological","0","PTH","137","2262","0.288","0.037","0","within","yes","1.66568630591702","41","137","2262","0.02","0.011","0","within","yes","0.0597488197784862","41","137","2262","0.27","0.126","0","within","yes","0.943090368089584","41","137","2262","0.016","0.002","0.001","within","yes","0.206484960852937","41","137","2262","0.086","0.035","0","within","yes","0.499452023003914","41","137","2262","0.747","0.558","0","within","yes","1.94686269145577","41","137","2262","0.199","0.028","0","within","yes","1.76947224075202","41","137","2262","0.337","0.055","0","within","yes","1.98989303838781","41"
"Conditional","Biological","1","all","143","2256","0.272","0.036","0","within","yes","1.56614329958732","0","143","2256","0.02","0.012","0","within","yes","0.0531100620253211","0","143","2256","0.261","0.125","0","within","yes","0.890696458751274","0","143","2256","0.015","0.003","0.003","within","yes","0.176987109302518","0","143","2256","0.084","0.036","0","within","yes","0.470072492238978","0","143","2256","0.743","0.558","0","within","yes","1.90565924825036","0","143","2256","0.194","0.028","0","within","yes","1.71773328634407","0","143","2256","0.33","0.056","0","within","yes","1.93344217205057","0"
"Conditional","Physical","0","LIT","146","2253","0.063","0.016","0","within","yes","0.311901419833067","34","146","2253","0.106","0.037","0","within","yes","0.458074284968394","34","146","2253","0.178","0.114","0","within","yes","0.419151274706482","34","146","2253","0.044","0.012","0","within","yes","0.471965624806713","34","146","2253","0.179","0.072","0","within","yes","1.04786993061606","34","146","2253","0.632","0.534","0","within","yes","1.00948435853262","34","146","2253","0.116","0.027","0","within","yes","0.920953388461579","34","146","2253","0.204","0.055","0","within","yes","1.05139738553115","34"
"Conditional","Physical","0","MEC","13","2386","0.089","0.013","0.045","within","yes","0.504351232070492","35","13","2386","0.14","0.029","0.009","within","yes","0.73690211060133","35","13","2386","0.213","0.11","0.008","within","yes","0.674571582730744","35","13","2386","0.076","0.021","0.144","within","no","0.811190917636539","35","13","2386","0.224","0.106","0","within","yes","1.15559487675416","35","13","2386","0.58","0.553","0.096","within","no","0.278123241636538","35","13","2386","0.085","0.03","0.106","within","no","0.569128498487493","35","13","2386","0.134","0.063","0.11","within","no","0.50100143874303","35"
"Conditional","Physical","0","MPH","18","2381","0.069","0.03","0","within","yes","0.258811816457226","36","18","2381","0.111","0.034","0","within","yes","0.511184346993715","36","18","2381","0.164","0.113","0.007","within","yes","0.334011172031728","36","18","2381","0.063","0.017","0.028","within","yes","0.678450585659651","36","18","2381","0.148","0.081","0","within","yes","0.65614285375024","36","18","2381","0.574","0.537","0","within","yes","0.381131849650072","36","18","2381","0.116","0.034","0","within","yes","0.848518852290444","36","18","2381","0.191","0.067","0","within","yes","0.874988428227264","36"
"Conditional","Physical","0","TMP","71","2328","0.069","0.021","0","within","yes","0.318537620255047","33","71","2328","0.151","0.032","0","within","yes","0.790012172626651","33","71","2328","0.237","0.105","0","within","yes","0.864499504082119","33","71","2328","0.044","0.01","0","within","yes","0.501463476357133","33","71","2328","0.131","0.059","0","within","yes","0.705108738358468","33","71","2328","0.675","0.544","0","within","yes","1.34941276497728","33","71","2328","0.168","0.037","0","within","yes","1.35556060548839","33","71","2328","0.286","0.073","0","within","yes","1.50300431622909","33"
