"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Morphological","Timing","0","MTM","7","2392","0.248","0.004","0.003","within","yes","1.61923290296316","25","7","2392","0.16","0.018","0.003","within","yes","0.942703600949449","25","7","2392","0.308","0.088","0.002","within","yes","1.44083250680353","25","7","2392","0.115","0.014","0.067","within","no","1.48964150329619","25","7","2392","0.17","0.071","0.072","within","no","0.969524515242893","25","7","2392","0.667","0.557","0","within","yes","1.13309468814886","25","7","2392","0.133","0.014","0","within","yes","1.2313871149093","25","7","2392","0.22","0.032","0.001","within","yes","1.32659535892521","25"
"Morphological","Timing","0","SEN","39","2360","0.081","0.017","0","within","yes","0.42471682700673","23","39","2360","0.159","0.038","0","within","yes","0.803289688132981","23","39","2360","0.214","0.099","0","within","yes","0.753162446738209","23","39","2360","0.082","0.025","0","within","yes","0.840688769186958","23","39","2360","0.178","0.094","0","within","yes","0.822626861418212","23","39","2360","0.651","0.559","0","within","yes","0.947679193724504","23","39","2360","0.145","0.026","0","within","yes","1.2313871149093","23","39","2360","0.263","0.053","0","within","yes","1.48183524135262","23"
"Morphological","Timing","1","all","210","2204","0.062","0.019","0","within","yes","0.285356618145147","0","210","2204","0.2","0.035","0","within","yes","1.09539502927225","0","210","2204","0.256","0.095","0","within","yes","1.05442742543349","0","210","2204","0.041","0.018","0","within","yes","0.339225292829825","0","210","2204","0.109","0.074","0","within","yes","0.342761192257588","0","210","2204","0.647","0.542","0","within","yes","1.0815903841421","0","210","2204","0.119","0.02","0","within","yes","1.02443129727749","0","210","2204","0.213","0.042","0","within","yes","1.20663726795857","0"
"Morphological","Vegetative","0","ARC","93","2306","0.131","0.017","0","within","yes","0.756526848105737","16","93","2306","0.186","0.044","0","within","yes","0.942703600949449","16","93","2306","0.276","0.111","0","within","yes","1.08062438010265","16","93","2306","0.091","0.027","0","within","yes","0.943931249613427","16","93","2306","0.213","0.094","0","within","yes","1.1653880536758","16","93","2306","0.651","0.557","0","within","yes","0.968280915327211","16","93","2306","0.108","0.026","0","within","yes","0.848518852290444","16","93","2306","0.204","0.057","0","within","yes","1.03728466894684","16"
"Morphological","Vegetative","0","GER","60","2339","0.089","0.021","0","within","yes","0.45126162869465","9","60","2339","0.155","0.042","0","within","yes","0.75017962610766","9","60","2339","0.21","0.104","0","within","yes","0.69421929873261","9","60","2339","0.103","0.014","0","within","yes","1.31265439399367","9","60","2339","0.189","0.093","0","within","yes","0.940144984477957","9","60","2339","0.642","0.572","0","within","yes","0.721060256094732","9","60","2339","0.107","0.03","0","within","yes","0.79677989788249","9","60","2339","0.192","0.06","0","within","yes","0.931439294564507","9"
"Morphological","Vegetative","0","GRS","272","2127","0.114","0.031","0","within","yes","0.550804635024353","12","272","2127","0.234","0.047","0","within","yes","1.24144769984188","12","272","2127","0.213","0.125","0","within","yes","0.576333002721412","12","272","2127","0.05","0.022","0","within","yes","0.412969921705874","12","272","2127","0.131","0.081","0","within","yes","0.489658846082269","12","272","2127","0.593","0.56","0","within","yes","0.339928406444658","12","272","2127","0.08","0.025","0","within","yes","0.569128498487493","12","272","2127","0.151","0.051","0","within","yes","0.705635829215535","12"
"Morphological","Vegetative","0","IST","94","2305","0.052","0.018","0","within","yes","0.225630814347325","15","94","2305","0.198","0.049","0","within","yes","0.989174905221605","15","94","2305","0.254","0.113","0","within","yes","0.923442652087718","15","94","2305","0.16","0.022","0","within","yes","2.03535175697895","15","94","2305","0.306","0.094","0","within","yes","2.07615350738882","15","94","2305","0.676","0.557","0","within","yes","1.22580243536104","15","94","2305","0.138","0.025","0","within","yes","1.16930036961976","15","94","2305","0.248","0.054","0","within","yes","1.36893350867814","15"
"Morphological","Vegetative","0","LEF","246","2153","0.071","0.02","0","within","yes","0.338446221520988","14","246","2153","0.167","0.047","0","within","yes","0.796650930379816","14","246","2153","0.222","0.116","0","within","yes","0.69421929873261","14","246","2153","0.092","0.024","0","within","yes","1.00292695271427","14","246","2153","0.196","0.089","0","within","yes","1.04786993061606","14","246","2153","0.634","0.559","0","within","yes","0.772564560101498","14","246","2153","0.088","0.024","0","within","yes","0.66225861642181","14","246","2153","0.173","0.051","0","within","yes","0.860875711642953","14"
"Morphological","Vegetative","0","MSL","62","2337","0.106","0.034","0","within","yes","0.477806430382571","17","62","2337","0.157","0.052","0","within","yes","0.697069564082339","17","62","2337","0.192","0.123","0","within","yes","0.451897468042926","17","62","2337","0.028","0.017","0","within","yes","0.162238183527308","17","62","2337","0.087","0.071","0","within","yes","0.156690830746326","17","62","2337","0.596","0.563","0","within","yes","0.339928406444659","17","62","2337","0.059","0.026","0","within","yes","0.341477099092496","17","62","2337","0.112","0.053","0","within","yes","0.416325139237166","17"
"Morphological","Vegetative","0","NLS","127","2272","0.076","0.022","0","within","yes","0.358354822786928","10","127","2272","0.142","0.048","0","within","yes","0.624043228797523","10","127","2272","0.214","0.118","0","within","yes","0.628726912059723","10","127","2272","0.06","0.025","0","within","yes","0.516212402132343","10","127","2272","0.139","0.085","0","within","yes","0.528831553768851","10","127","2272","0.634","0.566","0","within","yes","0.700458534492025","10","127","2272","0.087","0.028","0","within","yes","0.610519662013856","10","127","2272","0.171","0.058","0","within","yes","0.797368487013555","10"
"Morphological","Vegetative","0","PIG","248","2151","0.07","0.025","0","within","yes","0.298629018989107","11","248","2151","0.183","0.05","0","within","yes","0.882954781170963","11","248","2151","0.223","0.12","0","within","yes","0.674571582730744","11","248","2151","0.085","0.016","0","within","yes","1.01767587848948","11","248","2151","0.193","0.071","0","within","yes","1.19476758444074","11","248","2151","0.658","0.566","0","within","yes","0.947679193724505","11","248","2151","0.097","0.024","0","within","yes","0.755388734356127","11","248","2151","0.158","0.046","0","within","yes","0.7903121287214","11"
"Morphological","Vegetative","0","ROT","199","2200","0.076","0.018","0","within","yes","0.384899624474849","13","199","2200","0.148","0.043","0","within","yes","0.697069564082339","13","199","2200","0.214","0.117","0","within","yes","0.635276150727011","13","199","2200","0.196","0.03","0","within","yes","2.44832167868483","13","199","2200","0.269","0.098","0","within","yes","1.67463325360136","13","199","2200","0.626","0.558","0","within","yes","0.700458534492024","13","199","2200","0.101","0.027","0","within","yes","0.765736525237718","13","199","2200","0.198","0.056","0","within","yes","1.00200287748606","13"
"Morphological","Vegetative","1","all","1401","1581","0.037","0.022","0","within","yes","0.0995430063297023","0","1401","1581","0.102","0.031","0","within","yes","0.471351800474725","0","1401","1581","0.155","0.114","0","within","yes","0.26851878535884","0","1401","1581","0.048","0.014","0","within","yes","0.501463476357133","0","1401","1581","0.131","0.066","0","within","yes","0.63655649990695","0","1401","1581","0.592","0.555","0","within","yes","0.381131849650072","0","1401","1581","0.044","0.022","0","within","yes","0.227651399394997","0","1401","1581","0.083","0.044","0","within","yes","0.275197973394059","0"
